id,poste,ville,departement,region,lieux_poste,etablissements,finess,mois_parution,annee_parution,categorie,type_structure,type_etablissement,latitude,longitude,latitude_finess,longitude_finess,qualite_coordonnees,source_coordonnees,source,observations,texte_source_poste,raison_sociale_finess,qualite_appariement_finess
1,Directeur / directrice,Montauban-de-Bretagne,Ille-et-Vilaine,Bretagne,Montauban-de-Bretagne,EHPAD de Montauban-de-Bretagne (Ille-et-Vilaine),350043204,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.19430944354767,-2.043538126926865,48.19430944354767,-2.043538126926865,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Montauban-de-Bretagne (Ille-et-Vilaine),SAAD ADMR MONTAUBAN DE BRETAGNE,Très probable
2,Directeur / directrice,Bollezeele,Nord,Hauts-de-France,Bollezeele,EHPAD de Bollezeele et d’Esquelbecq (Nord),590783288,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,50.86830243647888,2.3194474970606924,50.86830243647888,2.3194474970606924,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Bollezeele et d’Esquelbecq (Nord),EHPAD RESIDENCE SAINT-LOUIS EHPAD RESIDENCE SAINT-LOUIS A BOLLEZEELE,Très probable
3,Directeur / directrice,Saint-Trivier-de-Courtes,Ain,Auvergne-Rhône-Alpes,Saint-Trivier-de-Courtes,EHPAD de Saint-Trivier-de-Courtes (Ain),010007425,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.457801682162696,5.078020538943004,46.457801682162696,5.078020538943004,Coordonnées FINESS géolocalisées,"2,ATLASANTE,91,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Saint-Trivier-de-Courtes (Ain),SSIAD EHPAD SAINT-TRIVIER-DE-COURTES,Très probable
4,Directeur / directrice,Excideuil,Dordogne,Nouvelle-Aquitaine,Excideuil,centre hospitalier d’Excideuil (Dordogne),240000455,4,2025,Chef d'établissement,Sanitaire,Établissement sanitaire,45.33591592751645,1.0524616137100495,45.33591592751645,1.0524616137100495,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier d’Excideuil (Dordogne),CENTRE HOSPITALIER D'EXCIDEUIL CENTRE HOSPITALIER D'EXCIDEUIL,Très probable
5,Directeur / directrice,Saint-Julien-Chapteuil,Haute-Loire,Auvergne-Rhône-Alpes,Saint-Julien-Chapteuil,EHPAD de Saint-Julien-Chapteuil (Haute-Loire),430002147,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,45.03519506775423,4.065207381861025,45.03519506775423,4.065207381861025,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Saint-Julien-Chapteuil (Haute-Loire),EHPAD SAINT JULIEN CHAPTEUIL EHPAD SAINT JULIEN CHAPTEUIL,Très probable
6,Directeur / directrice,Chizé,Deux-Sèvres,Nouvelle-Aquitaine,Chizé,EPMS de Chizé (Deux-Sèvres),790013510,4,2025,Chef d'établissement,Médico-social,EPMS / EPSMS,46.11993261310263,-0.3459829462003646,46.11993261310263,-0.3459829462003646,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EPMS de Chizé (Deux-Sèvres),FOYER DE VIE LES DEUX CHENES,Très probable
7,Directeur / directrice,Saint-Joseph,Martinique,Martinique,Saint-Joseph,centre hospitalier Romain Blondet à Saint-Joseph (Martinique),970200077,4,2025,Chef d'établissement,Sanitaire,Établissement sanitaire,14.668616983130098,-61.048436887281966,14.668616983130098,-61.048436887281966,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,UTM_N20",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier Romain Blondet à Saint-Joseph (Martinique),HOPITAL ROMAIN BLONDET,Très probable
8,Directeur / directrice,Thorigné-sur-Doué,Sarthe,Pays de la Loire,Thorigné-sur-Doué,EHPAD de Thorigné-sur-Doué et de Vibraye (Sarthe),720002179,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.89422384486393,0.0681331413517429,47.89422384486393,0.0681331413517429,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Thorigné-sur-Doué et de Vibraye (Sarthe),EHPAD CEGVS EHPAD CEGVS ROEZE SUR SARTHE,Probable - à contrôler
9,Directeur / directrice,Senonches,Eure-et-Loir,Centre-Val de Loire,Senonches,EHPAD de Senonches et de Brezolles (Eure-et-Loir),280505603,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.564017926792246,1.0371846377035328,48.564017926792246,1.0371846377035328,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Senonches et de Brezolles (Eure-et-Loir),MAS DE SENONCHES MAS DE SENONCHES,Très probable
10,Directeur / directrice,Non renseigné,Var,Provence-Alpes-Côte d'Azur,Var,Pôle gérontologique du Riou Blanc au Seillans (Var),830015319,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,43.56966849460539,6.684366250785275,43.56966849460539,6.684366250785275,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,Pôle gérontologique du Riou Blanc au Seillans (Var),EHPAD LES JONQUIERS EHPAD LES JONQUIERS (EX.PÔLE GÉRONTOLOGIQUE DU RIOU BLANC),Probable - à contrôler
11,Directeur / directrice,Chalabre,Aude,Occitanie,Chalabre,EHPAD de Chalabre (Aude),110780723,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,42.98192557249384,2.0002926080482037,42.98192557249384,2.0002926080482037,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Chalabre (Aude),EHPAD LES HAUTS DE BON ACCUEIL EHPAD LES HAUTS DE BON ACCUEIL CHALABRE,Très probable
12,Directeur / directrice,Vaucouleurs,Meuse,Grand Est,Vaucouleurs,EHPAD de Vaucouleurs (Meuse),550000210,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.60544437541511,5.664049040764513,48.60544437541511,5.664049040764513,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Vaucouleurs (Meuse),EHPAD VALLEE DE LA MEUSE - VAUCOULEURS EHPAD VALLEE DE LA MEUSE - SITE VAUCOULEURS,Très probable
